PRODUCT_ID,CATEGORY_ID
"33463652","1320"
"33463692","1320"
"33665023","1396"
"33665030","1396"
"34603311","4650"
"35524381","1396"
"35657964","1320"
"35657989","1320"
"35709508","1320"
"35855472","1320"
"36183711","1396"
"36346337","1396"
"36346338","1396"
"36346339","1396"
"36346340","1396"
"36346341","1396"
"36346342","1396"
"36346343","1396"
"36346345","1396"
"36346352","1396"
"36346353","1396"
"36382428","1396"
"36382432","1396"
"36564140","1310"
"36600554","1320"
"36600555","1320"
"36773443","1396"
"36773445","1396"
"37067048","1320"
"37071310","1396"
"37071311","1396"
"37087929","1320"
"37088731","1320"
"37280442","1396"
"37280443","1717"
"37280445","1396"
"37280446","1717"
"37280447","1310"
"37286771","1320"
"37420376","1320"
"37420389","1320"
"37641987","1320"
"37642001","1320"
"37642003","1396"
"37642039","1396"
"37642050","1310"
"37882738","1396"
"37882740","1396"
"37882756","1396"
"37882768","1396"
"37882965","1320"
"37883151","1717"
"38045105","4430"
"38101701","1396"
"38101719","1396"
"38101893","1396"
"38225004","1396"
"38225010","1396"
"38225011","1396"
"38225012","1396"
"38225013","1396"
"38225014","1396"
"38225017","1396"
"38225020","1396"
"38225023","1396"
"38225024","1396"
"38225026","1396"
"38225031","1396"
"38225033","1396"
"38225034","1396"
"39191870","1717"
"40203410","1396"
"41153648","2022"
"43102435","2022"
"43562729","1396"
"43562730","1396"
"43562732","1396"
"43562735","1396"
"43562745","1396"
"43562746","1396"
"49095640","1717"
"55502702","4323"
"55502703","4650"
"55904532","1396"
"56194724","1396"
"56194725","1396"
"56658977","1396"
"57858767","1396"
"58822101","1320"
"59123359","1320"
"59947220","1320"
"60172369","1396"
"60172370","1396"
"65239564","1396"
"68672747","1320"
"69675103","4430"
"71213102","1320"
"74950534","4650"
"77198509","4650"
"77198516","4650"
"78322467","4323"
"79167399","4323"
"79457491","1320"
"79457495","1320"
"79457500","1320"
"79566738","1320"
"79944678","4323"
"79945682","4650"
"80017595","4650"
"80017655","4650"
"80017702","4650"
"80018165","4650"
"80491955","4430"
